客户名称,集团客户重点分支,行业,客户类型,阶段,年产能估算,2025年预计产出,,2026年预期目标,,增长率,,2026年阵型（KA专职人员）,,,,备注
,,,,,,25订单,25业绩,26订单,26业绩,订单,业绩,销售,售前（安全）,售前（云）,大客户服务经理,
TCL科技集团股份有限公司,"TCL华星光电技术有限公司
TCL实业控股股份有限公司
TCL科技集团股份有限公司
TCL空调器有限公司
深圳市雷鸟网络科技有限公司",民企,,孵化期,,46,46,300,300,552%,552%,陈泓宇,黄隆,朱成强,,
中兴通讯股份有限公司,"北京兴云数科技术有限公司 
中兴终端有限公司 
深圳市中兴康讯电子有限公司",民企,,孵化期,,123,123,600,450,388%,266%,张青军,袁义金,刘乐,,
中国国际海运集装箱（集团）股份有限公司,"中集集团集装箱控股有限公司
中集天达控股（深圳）有限公司
中集车辆（集团）股份有限公司
中集集团财务有限公司",央国企,,孵化期,,12,12,200,200,1567%,1567%,左龙,王跃海,金鑫,,
中国广核集团有限公司,"中广核核电运营有限公司
中广核工程有限公司
中广核惠州核电有限公司
中广核研究院有限公司",央国企,泛KA,成长期,,575,473,700,600,22%,27%,肖璐琼,张春雷,张春雷,王刚,
中航国际股份有限公司,"深南电路股份有限公司
天虹数科商业股份有限公司 
飞亚达精密科技股份有限公司",央国企,,成长期,,884,588,700,400,-21%,-32%,左龙,袁义金,金鑫,,
伯恩光学（深圳）有限公司,,民企,,孵化期,,12,35,400,200,3233%,471%,苟家健,黄隆,黎锦添,,
华润（集团）有限公司,,央国企,,成长期,,906,750,1400,1300,55%,73%,曾智伟,黄新,董俊,汪洋,
国信证券股份有限公司,,金融,,孵化期,,52,60,300,200,477%,233%,刘敏杰,马瑞,蔡晓森,刘阳,
国投证券股份有限公司,,金融,,孵化期,,133,166,250,200,88%,20%,刘敏杰,马瑞,蔡晓森,刘阳,
富士康科技集团,"1.准时达国际供应链管理有限公司
2.鹏鼎控股（深圳）有限公司
3.云智汇（深圳）高新科技服务有限公司
4. 富士康工业互联网股份有限公司",民企,,孵化期,,346,397,600,600,73%,51%,谢玉溪,姜凯,董俊,王刚,
影石创新科技股份有限公司,,民企,,孵化期,,50,81,300,300,500%,270%,刘海洋,黄新,董俊,,
招商局集团有限公司,"1.招商局港口集团股份有限公司
2.招商局国际科技有限公司
3.深圳市新南山控股（集团）股份有限公司
4.招商局工业集团有限公司",央国企,,孵化期,,400,305,700,700,75%,130%,谢玉溪,姜凯,董俊,张正平,
招商证券股份有限公司,,金融,,成长期,,367,354,700,450,91%,27%,刘敏杰,马瑞,蔡晓森,刘阳,
欣旺达电子股份有限公司,"欣旺达动力科技股份有限公司
惠州市盈旺精密技术股份有限公司
惠州锂威新能源科技有限公司",民企,LKA,成长期,,873,589,800,650,-8%,10%,熊欣甜,黄隆,黎锦添,王刚,
比亚迪股份有限公司,"比亚迪汽车工业有限公司
深圳弗迪电池有限公司",民企,GKA,成长期,,3260,2356,1600,1500,-51%,-36%,刘海洋,姜凯,董俊,黄子扬,
沃尔玛（深圳）百货有限公司,,民企,,孵化期,,0,403,500,300,#DIV/0!,-26%,熊欣甜,黄隆,黎锦添,,
深圳农村商业银行股份有限公司,前海兴邦金融租赁有限责任公司,金融,,孵化期,,309,269,300,300,-3%,12%,刘敏杰,马瑞,蔡晓森,刘阳,
深圳市交易集团,"深圳数据交易所有限公司
深圳市联合产权交易所",,,孵化期,,106,106,150,250,42%,136%,陈泓宇,黄隆,朱成强,,
深圳市大疆创新科技有限公司,"深圳市卓驭科技有限公司
深圳市大疆百旺科技有限公司
深圳市大疆软件科技有限公司",民企,,孵化期,,233,225,350,350,50%,56%,张青军,袁义金,金鑫,黄子扬,
深圳市政政务服务和数据管理局,,数字政府,,孵化期,,156,197,900,900,477%,357%,张勇,,,,
深圳市景旺电子股份有限公司,深圳市景弘瑞讯电子有限公司,民企,,孵化期,,350,337,700,850,100%,152%,张青军,袁义金,金鑫,,
深圳市智慧城市科技发展集团有限公司,深圳市城市交通规划设计研究中心股份有限公司,央国企,,成长期,,501,427,600,550,20%,29%,沈成,马瑞,蔡晓森,,
深圳市机场集团有限公司,"深圳机场国际货站有限公司
深圳市机场国内货站有限公司
深圳低空产业发展服务有限公司",机场,,孵化期,,100,191,300,250,200%,31%,沈成,马瑞,蔡晓森,,
深圳市燃气集团股份有限公司,深圳市赛易特信息技术有限公司,能源,,孵化期,,3,3,400,300,13233%,9900%,林裕欢,王跃海,刘乐,,
深圳能源集团股份有限公司,"深圳能源环保股份有限公司
深能智慧能源科技有限公司",能源,,成长期,,780,598,900,700,15%,17%,林裕欢,王跃海,刘乐,,
深圳航空有限责任公司,"深圳市深航货运有限公司
深圳市深航物业酒店管理有限公司",航司,,孵化期,,165,200,500,300,203%,50%,沈成,黄隆,蔡晓森,,
深圳证券交易所,"深圳证券通信有限公司
深圳证券信息有限公司",金融,,孵化期,,262,261,400,400,53%,53%,刘敏杰,马瑞,蔡晓森,刘阳,
深圳迈瑞生物医疗电子股份有限公司,深圳迈瑞动物医疗科技有限公司,民企,,孵化期,,30,30,300,200,900%,567%,苟家健,黄隆,朱成强,,
盐田国际集装箱码头有限公司,"深圳市盐田港集团有限公司
盐田港国际资讯有限公司",港口,,孵化期,,69,72,250,200,262%,178%,沈成,马瑞,朱成强,,
顺丰控股股份有限公司,"顺丰航空有限公司
顺丰速运有限公司
顺丰科技有限公司",民企,,孵化期,,2,2,150,100,7400%,4900%,肖璐琼,张春雷,张春雷,,
鹏城国家实验室,,科研,,孵化期,,89,89,300,250,237%,181%,左龙,王跃海,刘乐,,